geneid	Chr	Start	End	Strand	Length	gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
slr1494	CHR	44948	46789	+	1842	NA	566	723	619	538	385	690	430	805	2	2	5	1
sll1401	CHR	47007	47942	-	936	NA	229	336	359	310	108	483	389	347	2	2	1	0
sll1400	CHR	48067	48408	-	342	NA	163	211	292	226	85	274	213	170	1	2	4	0
ssl2733	CHR	48405	48635	-	231	NA	111	160	207	200	39	153	165	164	0	0	5	1
sll1399	CHR	48663	49868	-	1206	NA	2971	3725	5925	5028	698	1996	1758	1415	13	16	19	6
sll1398	CHR	49893	50231	-	339	psb28	3754	6104	8910	7222	406	2512	1565	798	4	5	3	3
slr1495	CHR	50246	51895	+	1650	NA	987	1154	1090	920	250	507	451	707	7	12	14	2
sll1396	CHR	53453	54097	-	645	NA	446	476	566	546	152	438	360	446	2	2	4	0
slr1498	CHR	54533	55657	+	1125	hypD	818	1085	960	859	167	328	318	414	2	4	10	3
sll1395	CHR	55669	56550	-	882	rfbD	1574	1912	1685	1498	74	194	293	220	4	1	15	4
sll1394	CHR	56556	57224	-	669	msrA	2526	2629	2524	2502	226	621	936	714	7	1	24	6
sll1393	CHR	57340	58815	-	1476	glgA	3459	4615	6541	5734	480	1371	1416	1181	14	17	20	10
sll1392	CHR	59039	59650	-	612	NA	227	348	393	287	102	134	177	215	0	1	3	1
slr1501	CHR	59749	60423	+	675	NA	383	557	863	1009	138	291	299	321	3	2	18	2
slr1113	CHR	60524	61522	+	999	NA	689	961	1204	1034	261	672	589	572	9	9	10	7
slr1114	CHR	61834	63591	+	1758	NA	1412	1888	2516	1834	773	1356	1301	1280	9	25	23	11
slr1115	CHR	63633	64361	+	729	NA	290	366	472	338	175	347	329	371	6	7	6	0
slr1116	CHR	64393	64914	+	522	NA	540	589	687	579	155	471	517	385	3	2	7	1
slr1117	CHR	64987	65748	+	762	NA	344	371	514	479	226	480	463	457	8	3	1	0
sll1064	CHR	65827	67533	-	1707	NA	717	948	1216	1048	396	832	700	1011	4	5	10	0
slr1118	CHR	67606	68361	+	756	NA	164	183	208	204	165	301	277	452	1	3	16	3
sll1063	CHR	68400	69059	-	660	tsaB	286	324	366	293	99	189	171	201	4	2	6	1
slr1119	CHR	69284	69985	+	702	NA	1774	1816	905	819	166	406	529	440	8	3	9	4
sll1062	CHR	70016	70393	-	378	NA	400	518	270	195	91	260	205	267	0	0	5	1
sll1061	CHR	70420	70935	-	516	NA	185	296	360	238	84	278	295	233	1	2	4	0
sll1060	CHR	70944	74042	-	3099	NA	1845	2394	3470	2958	800	1613	1710	1760	6	9	28	8
ssl2069	CHR	73978	74229	-	252	NA	84	151	175	203	47	86	109	96	2	0	0	0
ssr1853	CHR	74498	74785	+	288	NA	861	1305	658	786	179	269	1168	440	3	4	8	1
slr1120	CHR	74995	75804	+	810	NA	1630	1821	1514	1392	204	387	620	590	6	3	12	4
sll1059	CHR	75955	76500	-	546	NA	583	685	1127	997	124	310	430	369	2	0	1	5
sll1058	CHR	76580	77407	-	828	dapB	1296	1522	2274	2070	374	817	1131	775	5	3	8	2
sll1057	CHR	77494	77826	-	333	NA	198	211	337	290	192	405	400	309	8	4	16	4
sll1056	CHR	78467	80800	-	2334	purL	2537	4277	4673	3502	624	1270	824	1155	11	7	13	4
slr1122	CHR	80938	81690	+	753	NA	940	1167	1294	1209	244	513	553	487	2	6	8	3
sll1054	CHR	81696	82259	-	564	NA	797	1079	1051	870	155	383	415	427	4	3	13	3
sll1053	CHR	82291	83853	-	1563	NA	4125	5483	6097	4630	766	1584	1910	1604	21	14	53	16
slr1123	CHR	84122	84697	+	576	gmk	521	749	803	537	116	192	244	244	0	1	5	1
slr1124	CHR	84776	86107	+	1332	NA	4158	4227	5972	5900	302	1026	1483	1097	4	6	17	3
slr1125	CHR	86159	87418	+	1260	NA	851	1166	1349	1287	205	469	524	548	3	4	3	0
sll1052	CHR	87536	87910	-	375	NA	168	255	198	172	42	70	54	126	0	0	2	0
sll1051	CHR	88017	88661	-	645	NA	409	557	356	247	71	103	95	154	1	1	0	2
sll1049	CHR	88818	90506	-	1689	NA	6844	8106	2743	2200	342	933	2820	1464	5	9	22	6
slr1127	CHR	90737	91411	+	675	NA	3179	3375	4102	4744	1257	2723	4217	2375	18	17	63	16
slr1128	CHR	91517	92482	+	966	NA	2610	3976	5906	5290	873	1842	2729	1780	14	12	39	14
slr1129	CHR	93128	95152	+	2025	NA	14303	18330	32063	25249	1753	3635	5166	3078	17	25	51	17
slr1130	CHR	95236	95808	+	573	NA	2036	2599	3805	2550	72	171	222	161	1	7	8	6
sll1045	CHR	95818	96228	-	411	mutT	488	638	845	662	62	107	94	108	4	1	2	1
sll1043	CHR	96325	98481	-	2157	NA	33771	36617	59340	51985	2788	9810	14200	7505	71	69	153	27
sll0716	CHR	98609	99199	-	591	lepB	983	1112	1484	1199	113	250	305	280	6	4	7	2
slr0721	CHR	99402	100793	+	1392	NA	2036	2939	3053	2730	346	1060	1141	946	2	2	13	4
sll0712	CHR	100794	101771	-	978	NA	1552	1792	2509	2368	175	526	548	533	8	10	11	3
sll0711	CHR	101884	102831	-	948	ispE	884	1153	1255	1038	117	214	209	247	2	5	9	0
sll0710	CHR	102930	105110	-	2181	NA	1160	2084	2844	1969	221	1039	1221	940	4	7	14	4
sll0709	CHR	105151	106464	-	1314	NA	711	1144	1540	1290	201	991	1000	793	2	8	10	1
sll0708	CHR	107471	108325	-	855	rsmA	267	328	331	250	95	203	179	191	1	3	1	1
slr0722	CHR	108290	109201	+	912	NA	165	202	214	152	192	367	231	314	4	1	4	1
slr0723	CHR	109222	110313	+	1092	NA	653	889	1044	715	281	622	473	516	6	5	8	3
slr0724	CHR	110392	110724	+	333	NA	42	80	92	85	82	162	90	185	0	0	2	0
slr0725	CHR	110808	111224	+	417	NA	50	70	58	54	31	89	32	62	0	0	0	0
slr0727	CHR	111588	112559	+	972	NA	254	468	528	500	144	671	422	385	2	1	5	0
slr0728	CHR	112860	114188	+	1329	NA	982	1210	1366	1345	230	565	624	659	9	8	10	4
slr0729	CHR	114319	114624	+	306	NA	475	506	810	878	366	683	939	584	5	5	8	3
slr0730	CHR	114874	115272	+	399	NA	611	702	1050	934	264	476	714	567	4	5	7	1
slr0731	CHR	115269	116477	+	1209	NA	2704	4064	4050	3483	417	1000	1410	1182	9	8	21	6
sll0704	CHR	116518	117693	-	1176	NA	4245	5519	6216	5100	528	1234	1796	1136	13	16	27	10
slr0732	CHR	117869	118336	+	468	NA	138	250	177	160	124	260	191	359	2	3	0	3
sll0703	CHR	118333	119532	-	1200	NA	534	728	360	334	149	305	324	347	3	1	2	0
sll0702	CHR	119570	119962	-	393	NA	216	250	165	153	103	167	196	234	1	2	5	0
slr1006	CHR	120298	120537	-	240	NA	52	77	61	77	121	360	125	246	0	1	2	2
slr0733	CHR	120719	121660	+	942	NA	543	681	752	642	171	444	314	440	3	2	5	0
ssl1326	CHR	121706	121963	-	258	NA	248	458	332	265	40	96	76	76	0	1	2	1
slr0734	CHR	122287	123405	+	1119	NA	219	324	313	285	126	303	197	348	2	3	6	1
sll0698	CHR	124452	126443	-	1992	NA	2159	2903	3466	2861	600	1531	1899	1470	5	13	16	10
slr0737	CHR	126639	127064	+	426	NA	10426	10484	31332	30035	14700	47370	23178	14005	261	296	115	29
slr0738	CHR	127186	128712	+	1527	trpE	3467	5129	10139	8784	865	1924	1804	1297	16	16	13	1
slr0739	CHR	128802	129710	+	909	NA	1881	2229	3873	3687	473	997	1220	786	11	8	9	3
slr0740	CHR	129791	130186	+	396	NA	487	516	707	697	51	287	316	252	6	4	7	0
sll0696	CHR	130167	131039	-	873	NA	729	791	1019	729	145	333	322	406	3	6	5	4
slr0741	CHR	131116	131790	+	675	phoU	552	605	554	548	138	282	223	313	1	0	11	3
slr0742	CHR	131952	132407	+	456	rimP	3714	5545	7345	4997	605	1199	1458	1031	12	12	10	5
slr0743	CHR	132483	133859	+	1377	nusA	12173	18859	26119	14783	1649	2275	3214	2117	19	13	19	7
slr0743a	CHR	133923	134177	+	255	NA	1769	1856	2787	2620	285	661	871	640	7	7	19	11
slr0744	CHR	134437	137442	+	3006	infB	14093	14192	28538	24799	2988	7862	11086	6978	79	73	136	45
slr0236	CHR	137444	138112	+	669	NA	2374	2988	6134	5630	288	679	1091	808	17	17	17	7
slr0237	CHR	138295	140535	+	2241	glgX	2910	4216	6849	6044	472	1124	1466	1387	15	20	18	3
slr0238	CHR	140585	141007	+	423	NA	667	791	942	730	99	247	343	273	1	0	5	1
ssl0426	CHR	141123	141428	-	306	NA	400	535	587	493	83	478	399	365	2	5	2	3
slr0239	CHR	141648	142442	+	795	cobM	597	798	1081	791	194	492	277	401	0	2	5	1
slr0240	CHR	142559	142981	+	423	NA	1416	2293	3218	2591	634	1360	1716	1016	6	9	25	5
slr0241	CHR	142981	143826	+	846	NA	2754	3160	5306	4406	1010	2219	2614	1835	11	23	19	5
slr0242	CHR	144061	144543	+	483	bcp	1887	1936	3507	2646	271	745	935	592	8	10	8	5
slr0243	CHR	144554	145081	+	528	NA	1372	1351	1898	1547	151	260	452	303	2	2	7	1
sll0230	CHR	145164	145529	-	366	NA	773	996	1069	925	136	395	426	350	9	3	4	2
slr0244	CHR	145761	146615	+	855	NA	2125	3100	7981	5884	1238	2208	2301	1162	14	19	11	2
slr0245	CHR	146980	147894	+	915	NA	490	584	1181	988	221	406	303	414	4	3	3	2
sll0228	CHR	148022	148942	-	921	speB	3333	4917	6069	4810	473	1296	1975	1384	5	7	15	2
sll0227	CHR	148943	149683	-	741	NA	5564	7568	12116	10719	479	1399	2160	1285	13	12	19	11
sll0226	CHR	149889	150455	-	567	NA	2926	3992	5613	5429	905	2302	3191	1976	16	9	7	2
sll0225	CHR	150594	152072	-	1479	NA	450	481	303	263	167	314	354	425	3	4	8	1
sll0224	CHR	152154	153050	-	897	NA	910	1076	736	600	199	673	1136	658	12	15	17	2
slr0249	CHR	153622	153996	+	375	NA	294	525	805	660	94	149	157	180	3	2	4	0
slr0250	CHR	154143	154679	+	537	NA	1961	2777	2718	2491	702	1291	2877	1365	8	23	44	18
slr0251	CHR	154703	155461	+	759	lptB	2922	5001	3996	3061	150	358	651	363	5	6	8	2
slr0252	CHR	155473	156258	+	786	cobK	1233	1407	923	751	85	122	117	192	3	2	4	2
ssr0390	CHR	156391	156651	+	261	psaK	1215	1216	2932	2800	423	1514	726	506	25	25	17	5
ssl0410	CHR	156741	157013	-	273	NA	1812	2243	2258	1851	360	1098	1112	820	30	35	82	26
sll0223	CHR	157050	158615	-	1566	NA	10156	13536	13314	11222	857	2767	3248	2345	155	154	342	116
sll0222	CHR	158757	159737	-	981	NA	4091	4799	7212	5732	313	875	1559	925	19	14	18	2
slr0254	CHR	160258	161058	+	801	NA	940	1175	1130	923	147	349	334	341	7	3	0	3
sll0221	CHR	161088	161642	-	555	NA	1139	1328	1354	1184	175	408	469	351	3	4	14	5
sll0220	CHR	161768	163663	-	1896	glmS	3073	3283	3292	3343	461	1349	1293	1098	9	13	32	12
sll0219	CHR	164037	165821	-	1785	NA	3496	4447	759	594	407	847	488	782	46	33	92	39
sll0218	CHR	165871	166389	-	519	NA	627	706	180	178	138	245	93	327	11	11	24	14
sll0217	CHR	166416	168152	-	1737	NA	5532	7032	4145	2647	594	1276	1496	1251	82	90	280	96
slr0257	CHR	168533	169921	+	1389	NA	3723	4968	6208	5245	769	1842	2576	1571	28	38	71	23
sll0216	CHR	169934	170566	-	633	NA	934	1612	1857	1409	118	321	305	339	4	5	2	2
slr1411	CHR	170572	171840	+	1269	larC	2316	3238	4054	3278	336	851	984	863	9	3	4	2
sll1327	CHR	171939	172883	-	945	NA	30069	40224	55079	52260	2187	7118	8876	5042	63	56	46	15
sll1326	CHR	173014	174525	-	1512	atpA	55443	57140	75246	72734	5912	20670	19361	11946	80	59	68	9
sll1325	CHR	174586	175143	-	558	atpH	12379	14768	16901	12419	1607	4323	4180	2246	31	20	18	6
sll1324	CHR	175143	175682	-	540	NA	14154	16742	20900	16132	2537	7733	8739	4385	15	18	13	5
sll1323	CHR	175708	176139	-	432	NA	27324	27470	35407	30200	2465	6527	7442	3851	32	31	18	5
ssl2615	CHR	176256	176501	-	246	atpE	9466	11471	15382	16060	1272	4720	8046	4263	23	20	16	8
sll1322	CHR	176693	177523	-	831	atpB	41954	49169	68744	66190	7676	27527	49652	23091	139	110	81	20
sll1321	CHR	177592	178098	-	507	NA	22850	26397	37241	37181	9848	37938	49465	25661	141	108	100	29
slr1413	CHR	178309	179682	+	1374	NA	1563	2021	1667	1183	279	424	356	513	4	12	30	5
slr1414	CHR	179734	181047	+	1314	NA	768	1118	1241	1137	220	371	325	443	2	4	5	1
slr1415	CHR	181097	182221	+	1125	NA	547	580	559	489	249	532	369	526	4	2	6	0
slr1416	CHR	182354	183298	+	945	NA	1151	1203	1495	1360	246	566	638	454	8	7	10	2
slr1417	CHR	183493	183849	+	357	NA	2019	3064	4087	3622	1680	4946	5850	3966	49	43	90	34
sll1319	CHR	183935	184924	-	990	NA	322	507	271	228	101	275	128	251	3	2	0	0
sll1318	CHR	184968	185636	-	669	NA	365	462	289	262	85	174	124	197	2	1	2	0
sll1041	CHR	185772	186554	-	783	NA	566	618	407	367	59	196	113	162	2	3	10	1
sll1040	CHR	186601	188892	-	2292	NA	1017	1480	883	765	386	800	433	855	7	7	7	3
slr1093	CHR	189128	189715	+	588	folK	1097	1243	1155	953	205	518	528	433	3	11	13	4
ST6803t01	CHR	189880	189953	-	74	NA	10	21	29	25	16	156	305	190	2	4	5	3
slr1094	CHR	190033	190818	+	786	NA	621	784	877	670	228	396	348	397	6	4	11	5
sll1039	CHR	190815	191819	-	1005	NA	906	828	591	575	123	317	702	570	1	2	4	1
slr1095	CHR	192136	192783	+	648	NA	160	309	311	234	187	263	158	351	2	1	2	2
slr1096	CHR	192882	194306	+	1425	lpdA	8434	9619	15076	14357	990	3090	5292	3235	20	21	22	3
slr1097	CHR	194310	194801	+	492	NA	801	1017	1733	1628	147	347	679	402	5	5	9	3
slr1098	CHR	194859	195617	+	759	NA	2069	3279	3896	2996	421	1330	1341	819	9	11	16	6
slr1099	CHR	195685	196305	+	621	NA	559	899	886	671	208	333	320	452	1	1	1	0
slr1100	CHR	196611	196991	+	381	NA	287	297	396	415	193	436	342	238	4	0	12	5
slr1101	CHR	197072	197557	+	486	NA	635	829	1368	1177	157	427	432	382	4	7	4	0
slr1102	CHR	197633	200185	+	2553	NA	2733	3045	5071	4391	1168	2593	2931	2599	21	12	41	15
slr1103	CHR	200405	202525	+	2121	NA	3077	3678	5964	4768	1021	2324	2923	2146	23	26	50	18
slr1104	CHR	202554	204395	+	1842	NA	3048	3946	5269	4373	655	1692	2897	2265	17	24	46	16
slr1105	CHR	204604	206397	+	1794	typA	28583	44181	52478	39866	2512	6678	17046	10150	48	50	87	38
sll1037	CHR	206863	208392	-	1530	NA	1861	2418	2603	2195	175	374	477	508	2	10	6	4
sll1036	CHR	208549	209427	-	879	NA	1460	1550	2177	1766	263	650	570	506	3	4	7	2
ssl2009	CHR	209527	209826	-	300	NA	676	1215	1776	1566	546	1125	1298	889	1	4	6	3
sll1035	CHR	209896	210546	-	651	upp	1949	2439	2710	2490	372	782	1167	753	2	4	8	1
slr1106	CHR	210781	211629	+	849	NA	1291	1797	2503	1584	431	827	711	611	4	2	7	1
slr1107	CHR	211734	213068	+	1335	NA	2210	3011	3108	2288	795	1200	1050	1103	12	7	7	1
sll1033	CHR	213031	215037	-	2007	NA	8567	12053	6784	5083	837	1677	1968	1650	13	11	31	8
sll1032	CHR	215504	216229	-	726	NA	8470	10437	4634	4591	610	1388	1588	1056	14	20	5	4
sll1031	CHR	216264	218273	-	2010	NA	70565	92724	43148	36009	3434	8133	9804	5561	61	49	45	14
sll1030	CHR	218407	218709	-	303	NA	8199	13422	9393	9508	868	2335	2895	1683	17	8	7	1
sll1028	CHR	218742	219077	-	336	NA	16760	19080	13701	13713	434	1457	2118	1129	14	16	10	3
sll1029	CHR	219206	219517	-	312	NA	18867	20641	16744	15934	719	3269	3893	2433	30	20	27	6
sll1027	CHR	219979	221463	-	1485	gltD	5259	6482	9346	7588	1302	2638	2968	1959	24	17	34	12
slr1109	CHR	221742	223067	+	1326	NA	1343	1679	1979	1463	235	508	564	492	9	6	10	2
slr1110	CHR	223114	223596	+	483	NA	467	649	822	717	94	226	269	236	1	1	1	0
slr1772	CHR	223742	224806	+	1065	NA	896	1126	1245	1149	120	346	337	338	2	7	4	1
sll1686	CHR	224897	226363	-	1467	NA	2012	2327	2303	1862	203	498	629	593	6	4	4	1
slr1773	CHR	227123	227899	+	777	NA	226	285	340	264	148	348	183	278	2	1	0	1
slr1774	CHR	227943	228812	+	870	NA	304	341	478	355	187	362	212	389	3	1	1	0
slr1776	CHR	228866	230566	+	1701	NA	486	727	695	492	225	607	380	629	5	1	3	1
sll1685	CHR	230658	231839	-	1182	NA	49	84	80	85	124	364	116	326	1	0	0	1
slr1777	CHR	232008	234038	+	2031	bchD	1969	2436	3115	2789	413	856	1108	918	10	13	18	9
slr1778	CHR	234305	234838	+	534	NA	288	369	386	328	75	383	386	315	3	1	2	0
sll1683	CHR	234905	236356	-	1452	NA	543	628	833	698	239	468	365	466	2	2	2	0
sll1682	CHR	236356	237438	-	1083	ald	582	820	1180	1016	223	398	401	526	3	3	5	3
slr1779	CHR	237600	238325	+	726	NA	2193	2859	2776	2054	272	483	847	531	3	3	12	8
slr1780	CHR	238344	238745	+	402	NA	1254	1321	2035	1909	118	374	530	381	3	4	5	0
sll1681	CHR	238804	240198	-	1395	NA	4096	5573	5692	4648	343	808	976	821	9	7	20	5
sll1680	CHR	240299	240829	-	531	msrB	2666	3531	2888	2830	546	1889	1574	1232	12	19	25	8
sll1679	CHR	240863	242047	-	1185	NA	3956	4810	3466	2897	341	775	1922	846	17	16	47	18
slr1783	CHR	242399	243094	+	696	NA	1398	1765	2419	2360	292	677	789	627	2	6	13	0
slr1784	CHR	243158	244144	+	987	NA	1300	2008	1923	1615	290	634	733	700	7	4	6	2
sll1678	CHR	244160	244708	-	549	NA	337	330	240	176	69	153	131	135	3	0	2	0
sll1677	CHR	244783	245394	-	612	NA	972	1500	1443	1022	119	299	346	289	4	5	2	0
sll1676	CHR	245502	247019	-	1518	malQ	6067	7178	7190	5903	376	1126	2828	1481	11	8	9	3
sll1675	CHR	247117	247569	-	453	NA	85	90	61	68	61	111	71	133	1	2	6	1
slr1787	CHR	247670	248713	+	1044	thiL	342	395	387	326	215	362	231	464	4	1	4	2
slr1788	CHR	249062	250117	+	1056	NA	134	206	332	318	159	397	198	422	2	6	6	3
slr1789	CHR	250160	251641	+	1482	NA	353	535	537	370	441	867	317	717	11	3	8	2
sll1673	CHR	251758	253116	-	1359	NA	921	1759	1990	1605	332	955	858	752	3	3	8	2
sll1672	CHR	253125	255629	-	2505	NA	940	1421	1413	992	704	1721	1229	1368	5	9	19	5
sll1671	CHR	255823	256359	-	537	NA	145	300	154	90	174	306	107	354	0	0	3	0
slr1790	CHR	256647	257279	+	633	hemJ	1787	1986	2085	1949	213	625	1001	645	9	6	13	5
slr1791	CHR	257426	258175	+	750	cysH	1511	1855	2015	1900	229	551	857	699	6	4	14	3
sll1670	CHR	258227	259363	-	1137	hrcA	1138	1312	1270	1181	225	616	657	624	8	3	10	5
ST6803t02	CHR	259560	259644	-	85	NA	205	235	209	258	30	251	183	134	8	10	13	10
sll1669	CHR	259702	260271	-	570	NA	453	706	543	473	102	209	150	264	4	0	1	2
slr1793	CHR	260463	261638	+	1176	NA	3088	3801	8031	7825	1656	3781	3496	2924	21	27	40	10
ssr2998	CHR	261863	262060	+	198	NA	640	758	996	1067	134	262	442	299	8	12	7	1
slr1794	CHR	262177	263265	+	1089	NA	6618	11273	13323	9845	1219	2935	3895	2842	14	2	25	4
slr1795	CHR	263321	263965	+	645	msrA	3683	5072	6149	5270	324	762	1404	1011	10	9	18	6
ssr3000	CHR	264190	264477	+	288	NA	951	1143	1285	1230	97	225	269	281	1	5	3	1
sll1667	CHR	264516	265295	-	780	NA	1184	1532	1530	1462	107	310	373	332	4	12	9	5
sll1666	CHR	265414	265938	-	525	NA	287	316	377	348	225	318	345	290	4	4	8	2
slr1796	CHR	265995	266600	+	606	NA	1047	1383	1360	1307	108	346	370	295	4	4	3	2
sll1665	CHR	266702	268471	-	1770	NA	8727	8883	12573	11190	3158	8318	9536	4991	39	50	59	29
sll1664	CHR	268789	269727	-	939	NA	1322	1488	1873	1618	150	430	517	486	7	5	10	5
sll1663	CHR	269773	270435	-	663	NA	730	823	1268	1459	187	514	536	505	7	3	10	1
sll1662	CHR	270476	271369	-	894	pheA	783	840	1004	983	303	1670	1698	1246	3	0	16	4
ST6803t03	CHR	271431	271502	+	72	NA	33	33	25	45	32	105	151	231	5	3	3	3
slr1798	CHR	271684	273357	+	1674	NA	1210	1375	1624	1523	474	1362	1142	1059	15	13	23	4
sll1660	CHR	273802	274386	-	585	NA	184	194	236	204	99	191	118	217	3	3	9	2
sll1659	CHR	274502	275680	-	1179	cofH	711	725	814	872	421	826	863	897	3	7	9	3
sll1658	CHR	275807	276193	-	387	NA	76	88	110	109	66	108	61	102	0	2	3	3
slr1799	CHR	276429	278342	+	1914	NA	2632	2946	3584	3439	494	1254	1212	1198	12	6	25	10
slr1800	CHR	278494	279561	+	1068	NA	1856	1920	1930	1796	253	545	498	595	6	1	2	2
sll1656	CHR	279512	280087	-	576	NA	1710	2062	2662	2668	170	523	670	495	10	13	33	9
sll1655	CHR	280127	280951	-	825	NA	2361	2648	5417	4336	308	656	604	395	15	10	19	9
sll1654	CHR	280970	281443	-	474	NA	1102	1619	2228	1628	376	565	526	316	9	10	16	4
sll1653	CHR	281507	282223	-	717	ubiE	992	1150	1039	909	204	415	246	405	4	5	15	4
slr1289	CHR	283060	284487	+	1428	NA	7324	8163	4780	4383	646	1939	5923	2662	7	4	12	7
slr1290	CHR	284508	285080	+	573	NA	1647	1992	1795	1367	501	1049	1773	993	8	9	19	8
sll1201	CHR	285144	285938	-	795	NA	753	1452	1214	836	1339	1473	1099	953	5	9	23	12
slr1291	CHR	286164	287843	+	1680	NA	14151	12889	5415	5402	525	1604	2501	1807	178	161	901	289
sll1200	CHR	287929	289104	-	1176	NA	493	676	615	508	271	508	297	562	2	2	3	2
slr1293	CHR	289322	290845	+	1524	crtD	401	564	391	276	252	449	371	555	1	0	13	8
ssr2142	CHR	290902	291174	+	273	NA	1388	1997	2183	2194	245	738	663	502	15	22	28	12
slr1295	CHR	291626	292708	+	1083	NA	12769	17293	32972	25620	1205	3703	2781	1809	7	5	19	4
sll1198	CHR	292790	293485	-	696	trmD	2592	3072	5291	3951	323	1040	794	586	4	10	5	2
sll1196	CHR	293878	294963	-	1086	NA	1195	1752	4182	2843	473	854	675	536	5	7	4	4
slr1298	CHR	295076	297343	+	2268	NA	678	802	892	717	412	796	424	834	8	3	8	3
sll1194	CHR	297493	297888	-	396	psbU	3763	5270	8786	9257	1493	5259	6120	4007	34	28	74	22
sll1193	CHR	298083	298580	-	498	NA	570	614	800	634	218	837	798	528	12	4	18	8
slr1299	CHR	299522	300883	+	1362	NA	1332	2127	1349	1145	328	628	365	635	1	4	9	3
slr1300	CHR	301110	302354	+	1245	NA	1878	2730	2312	1559	290	643	826	795	10	6	56	19
sll1192	CHR	302367	302789	-	423	crcB	547	742	691	459	154	298	463	311	3	2	13	5
sll1191	CHR	302786	303190	-	405	NA	699	825	713	448	105	202	220	213	7	4	14	3
ssr2153	CHR	303424	303621	+	198	NA	4329	4742	8459	12006	261	799	1582	2376	166	184	355	114
slr1301	CHR	303939	305546	+	1608	hmpF	2485	2761	3913	3231	866	1998	2108	1743	17	11	43	11
slr1302	CHR	305595	306824	+	1230	NA	3315	4755	6588	5413	607	1875	1591	1380	3	5	8	1
slr1303	CHR	306844	308076	+	1233	NA	1375	1469	2037	1777	221	507	415	512	4	1	7	4
sll1189	CHR	308114	309412	-	1299	NA	2955	3944	5640	4520	312	703	1102	778	12	11	26	3
slr1305	CHR	309649	312171	+	2523	NA	663	1052	1083	770	471	1026	795	1103	12	12	21	6
slr1306	CHR	312294	313715	+	1422	NA	4142	4509	9591	7953	976	2041	2118	1430	38	27	46	10
